Dem_poll,Rep_poll,Undecided,sample_size,mean_days_to_election,start_days_to_election,end_days_to_election,state,year,state_year,pollster,state_year_id,year_id,result_margin6,rmargin_year,rmargin_year_id,pollster_grp,pollster_id,pid,Dem_vote,Rep_vote,poll_error
85,7,2,310,4,7,1,washington-d-c,2016,washington-d-c_2016,SurveyMonkey,1,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,1,90.86,4.09,0.033011653730796536
92,6,3,312,5.5,9,2,washington-d-c,2016,washington-d-c_2016,UPI/CVOTER,1,4,Strong Rep.,Strong Rep. 2016,12,UPI/CVOTER,37,2,90.86,4.09,0.018149187004975767
88,4,1,332,11,14,8,washington-d-c,2016,washington-d-c_2016,SurveyMonkey,1,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,3,90.86,4.09,4.0295807862261723e-4
81,13,6,310,13,16,10,washington-d-c,2016,washington-d-c_2016,UPI/CVOTER,1,4,Strong Rep.,Strong Rep. 2016,12,UPI/CVOTER,37,4,90.86,4.09,0.09522256954948294
88,5,2,504,18,21,15,washington-d-c,2016,washington-d-c_2016,SurveyMonkey,1,4,Strong Rep.,Strong Rep. 2016,12,SurveyMonkey,32,5,90.86,4.09,0.010688138069272456
29,56,5,472,4,7,1,west-virginia,2016,west-virginia_2016,SurveyMonkey,2,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,6,26.18,67.85,-0.06275469030534675
34,58,8,422,12,22,2,west-virginia,2016,west-virginia_2016,Ipsos,2,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,7,26.18,67.85,-0.09114343710841577
27,58,3,321,11,14,8,west-virginia,2016,west-virginia_2016,SurveyMonkey,2,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,8,26.18,67.85,-0.03922527854064084
29,61,1,379,18,21,15,west-virginia,2016,west-virginia_2016,SurveyMonkey,2,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,9,26.18,67.85,-0.043800441939333634
41,54,5,360,36,46,26,west-virginia,2016,west-virginia_2016,Ipsos,2,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,10,26.18,67.85,-0.1531571670855325
36,55,9,371,43,53,33,west-virginia,2016,west-virginia_2016,Ipsos,2,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,11,26.18,67.85,-0.11718261532150709
35,52,3,988,4,7,1,nebraska,2016,nebraska_2016,SurveyMonkey,3,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,12,33.7,58.75,-0.03777748767584832
32,53,15,350,12,22,2,nebraska,2016,nebraska_2016,Ipsos,3,4,Strong Dem.,Strong Dem. 2016,8,Ipsos,12,13,33.7,58.75,-0.011949225336429836
32,52,2,412,11,14,8,nebraska,2016,nebraska_2016,SurveyMonkey,3,4,Strong Dem.,Strong Dem. 2016,8,SurveyMonkey,32,14,33.7,58.75,-0.016431018053516655
