"","Dem_poll","Rep_poll","Undecided","sample_size","mean_days_to_election","start_days_to_election","end_days_to_election","state","year","state_year","pollster","state_year_id","pollster2","year_id","result_margin6","rmargin_year","rmargin_year_id","pollster_grp","pollster_id"
"1",85,7,2,310,4,7,1,"washington-d-c",2016,"washington-d-c_2016","SurveyMonkey",1,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"2",92,6,3,312,5.5,9,2,"washington-d-c",2016,"washington-d-c_2016","UPI/CVOTER",1,"UPI/CVOTER",4,"Strong Rep.","Strong Rep. 2016",12,"UPI/CVOTER",37
"3",88,4,1,332,11,14,8,"washington-d-c",2016,"washington-d-c_2016","SurveyMonkey",1,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"4",81,13,6,310,13,16,10,"washington-d-c",2016,"washington-d-c_2016","UPI/CVOTER",1,"UPI/CVOTER",4,"Strong Rep.","Strong Rep. 2016",12,"UPI/CVOTER",37
"5",88,5,2,504,18,21,15,"washington-d-c",2016,"washington-d-c_2016","SurveyMonkey",1,"SurveyMonkey",4,"Strong Rep.","Strong Rep. 2016",12,"SurveyMonkey",32
"6",29,56,5,472,4,7,1,"west-virginia",2016,"west-virginia_2016","SurveyMonkey",2,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"7",34,58,8,422,12,22,2,"west-virginia",2016,"west-virginia_2016","Ipsos/Reuters",2,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"8",27,58,3,321,11,14,8,"west-virginia",2016,"west-virginia_2016","SurveyMonkey",2,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"9",29,61,1,379,18,21,15,"west-virginia",2016,"west-virginia_2016","SurveyMonkey",2,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"10",41,54,5,360,36,46,26,"west-virginia",2016,"west-virginia_2016","Ipsos/Reuters",2,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"11",36,55,9,371,43,53,33,"west-virginia",2016,"west-virginia_2016","Ipsos/Reuters",2,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"12",35,52,3,988,4,7,1,"nebraska",2016,"nebraska_2016","SurveyMonkey",3,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"13",32,53,15,350,12,22,2,"nebraska",2016,"nebraska_2016","Ipsos/Reuters",3,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
"14",32,52,2,412,11,14,8,"nebraska",2016,"nebraska_2016","SurveyMonkey",3,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"15",33,52,2,461,18,21,15,"nebraska",2016,"nebraska_2016","SurveyMonkey",3,"SurveyMonkey",4,"Strong Dem.","Strong Dem. 2016",8,"SurveyMonkey",32
"16",33,49,18,386,36,46,26,"nebraska",2016,"nebraska_2016","Ipsos/Reuters",3,"Ipsos",4,"Strong Dem.","Strong Dem. 2016",8,"Ipsos",12
